# Latitude: 53.25
# Longitude: 5.25
Time (UTC),SST (K),SST_SD (K),sst_anomaly (kelvin)
1993-01-16T12:00:00.000Z,278.4404465553977,1.2871525403039743,0.81972903
1993-02-15T00:00:00.000Z,277.9377734375,1.4293626105267248,0.75361425
1993-03-16T12:00:00.000Z,277.606408203125,0.9894280532382967,-0.95338064
1993-04-16T00:00:00.000Z,281.7419016927083,1.1112259202929868,-0.5511733
1993-05-16T12:00:00.000Z,286.50785611979165,0.9492973396709993,0.2620129
1993-06-16T00:00:00.000Z,289.0451276041667,0.9636602647124367,-0.41108
1993-07-16T12:00:00.000Z,290.4193515625,0.8795815233872254,-1.4460386
1993-08-16T12:00:00.000Z,290.18073763020834,0.8524097626723167,-2.3044903
1993-09-16T00:00:00.000Z,287.95657942708334,0.971273024080521,-1.5995866
1993-10-16T12:00:00.000Z,285.4911666666667,1.204694510828726,-0.5511871
1993-11-16T00:00:00.000Z,281.98009114583334,1.3368614949646962,-0.48139998
1993-12-16T12:00:00.000Z,278.661515625,1.2750290380024532,-1.083471
1994-01-16T12:00:00.000Z,277.57966362847225,1.026169467549945,-0.11809031
1994-02-15T00:00:00.000Z,276.76414641203706,1.150638981854669,-0.39797142
1994-03-16T12:00:00.000Z,278.22491145833334,0.990103848378517,-0.33153546
1994-04-16T00:00:00.000Z,281.12048307291667,1.026530384511248,-1.1725866
1994-05-16T12:00:00.000Z,285.5695859375,1.0455235650206969,-0.6788258
1994-06-16T00:00:00.000Z,288.29277545797413,0.8793643703714645,-1.19288
1994-07-16T12:00:00.000Z,293.5175383649554,0.8599773020148831,1.7061032
1994-08-16T12:00:00.000Z,292.75086476293103,0.8519729264108284,0.3144774
1994-09-16T00:00:00.000Z,288.4474212239583,0.8881636537997558,-1.1087466
1994-10-16T12:00:00.000Z,285.3999546595982,1.0620969413983306,-0.6317548
1994-11-16T00:00:00.000Z,283.32986255787034,1.1491113138462348,0.84936
1994-12-16T12:00:00.000Z,281.76266471354165,1.2203748892026554,2.0270967
1995-01-16T12:00:00.000Z,278.3699533420139,1.0910130206935138,0.5844129
1995-02-15T00:00:00.000Z,278.9753443287037,0.9151058172520896,1.7553142
1995-03-16T12:00:00.000Z,279.08000390625,0.8445494528431375,0.44375482
1995-04-16T00:00:00.000Z,281.9012604166667,0.8568636882288705,-0.3918133
1995-05-16T12:00:00.000Z,285.6077044270833,0.8376191451910204,-0.58660644
1995-06-16T00:00:00.000Z,288.4217025862069,0.9000339990791943,-1.0709733
1995-07-16T12:00:00.000Z,292.715966796875,0.8049007951547171,0.8907613
1995-08-16T12:00:00.000Z,293.83111193426726,0.7988438540448585,1.2926837
1995-09-16T00:00:00.000Z,289.36229947916667,0.8220448132240795,-0.19386667
1995-10-16T12:00:00.000Z,286.6646868024554,0.7971746594167167,0.66718704
1995-11-16T00:00:00.000Z,282.9199348958333,1.0599214023324708,0.34641334
1995-12-16T12:00:00.000Z,279.98996940104166,1.2158186796677335,0.2667355
1996-01-16T12:00:00.000Z,277.325615234375,1.384532524546316,-0.4317161
1996-02-15T12:00:00.000Z,274.640703125,1.3416019203060114,-2.5911171
1996-03-16T12:00:00.000Z,274.67143359375,1.0210476955436592,-3.8838062
1996-04-16T00:00:00.000Z,279.77205729166667,0.8539060067366843,-2.5210133
1996-05-16T12:00:00.000Z,283.6139309895833,0.952920318623071,-2.6034322
1996-06-16T00:00:00.000Z,287.3525478178879,1.0268605729086526,-2.1097732
1996-07-16T12:00:00.000Z,290.2585239955357,0.7870848642256767,-1.5892903
1996-08-16T12:00:00.000Z,292.0646127424569,0.8406076922255004,-0.42718711
1996-09-16T00:00:00.000Z,288.14781119791667,0.785749055031372,-1.40836
1996-10-16T12:00:00.000Z,285.8817633928571,0.8426751845659852,-0.13437417
1996-11-16T00:00:00.000Z,283.0020355902778,1.0626721036774034,0.48050666
1996-12-16T12:00:00.000Z,278.5540390625,1.1404019620718657,-1.2170322
1997-01-16T12:00:00.000Z,274.8435297309028,1.1592083213124011,-2.8446064
1997-02-15T00:00:00.000Z,276.5802271412037,0.9323012045594079,-0.6973714
1997-03-16T12:00:00.000Z,279.80367317708334,0.9316167294810663,1.2269032
1997-04-16T00:00:00.000Z,281.43194921875,0.8306685016404131,-0.86112
1997-05-16T12:00:00.000Z,285.2992591145833,0.832409762959497,-0.9332903
1997-06-16T00:00:00.000Z,289.27374191810344,0.871352934254803,-0.21016
1997-07-16T12:00:00.000Z,291.70529366629466,0.7928942020532739,-0.12938064
1997-08-16T12:00:00.000Z,294.5419827586207,0.8067392023296536,2.0215611
1997-09-16T00:00:00.000Z,290.049498046875,0.8086015092308257,0.4933333
1997-10-16T12:00:00.000Z,285.9420772879464,0.8554002669949148,-0.054954834
1997-11-16T00:00:00.000Z,282.34654513888887,1.085214666210231,-0.14082667
1997-12-16T12:00:00.000Z,279.9039427083333,1.0825331351122307,0.17034838
1998-01-16T12:00:00.000Z,278.5071061197917,0.8310568577209866,0.58110964
1998-02-15T00:00:00.000Z,278.4439496527778,0.8857312690852385,1.1731857
1998-03-16T12:00:00.000Z,279.843369140625,0.9863535219337819,1.2551613
1998-04-16T00:00:00.000Z,282.4867506510417,0.927983928765741,0.19368
1998-05-16T12:00:00.000Z,287.0104752604167,0.8722117013855296,0.76452905
1998-06-16T00:00:00.000Z,289.464224137931,0.8472581199749363,-0.0065333317
1998-07-16T12:00:00.000Z,290.4175146484375,0.8539445963110724,-1.4978967
1998-08-16T12:00:00.000Z,291.4061853448276,0.8715615691594313,-1.1317806
1998-09-16T00:00:00.000Z,288.84671484375,0.84824799665906,-0.7094533
1998-10-16T12:00:00.000Z,285.3406605747768,0.9986813182175255,-0.6840903
1998-11-16T00:00:00.000Z,281.3614084201389,0.9787095177620637,-1.1869466
1998-12-16T12:00:00.000Z,278.97678450520834,1.010489248705917,-0.7293548
1999-01-16T12:00:00.000Z,278.06272786458334,0.9264490359562472,0.46891612
1999-02-15T00:00:00.000Z,276.9094256365741,0.818254858536911,-0.26021427
1999-03-16T12:00:00.000Z,279.3945455729167,0.9359135282511751,0.8665032
1999-04-16T00:00:00.000Z,283.1771705729167,0.8176941786022647,0.8840933
1999-05-16T12:00:00.000Z,286.98388411458336,0.8503198340277094,0.76762575
1999-06-16T00:00:00.000Z,289.7405603448276,0.8005915448603766,0.22774667
1999-07-16T12:00:00.000Z,292.1631801060268,0.8137217624172883,0.38
1999-08-16T12:00:00.000Z,292.16725080818964,0.8715103565898981,-0.23334193
1999-09-16T00:00:00.000Z,291.82490234375,0.8022406369850662,2.2687333
1999-10-16T12:00:00.000Z,285.8019370814732,0.8730157162483645,-0.16851613
1999-11-16T00:00:00.000Z,282.7121390335648,0.9685042495366141,0.15652
1999-12-16T12:00:00.000Z,279.245318359375,0.88152659202444,-0.5123871
2000-01-16T12:00:00.000Z,277.6906608072917,0.987716625409624,-0.008451616
2000-02-15T12:00:00.000Z,278.3961400462963,0.788944994249356,1.2041793
2000-03-16T12:00:00.000Z,279.68026497395834,0.9439830396853203,1.0921677
2000-04-16T00:00:00.000Z,281.97426627604165,0.9187088261746686,-0.31879997
2000-05-16T12:00:00.000Z,286.57427408854164,0.938545916883491,0.28858066
2000-06-16T00:00:00.000Z,289.3248915678879,0.8579922628818918,-0.14730667
2000-07-16T12:00:00.000Z,289.64632882254466,0.850938428900781,-2.1885548
2000-08-16T12:00:00.000Z,292.49749259159483,0.8202985715275919,0.012361297
2000-09-16T00:00:00.000Z,290.016224609375,0.842677354639775,0.46005332
2000-10-16T12:00:00.000Z,286.5457191685268,0.9357659258151144,0.53135484
2000-11-16T00:00:00.000Z,282.0773357928241,0.9918937514459697,-0.46912
2000-12-16T12:00:00.000Z,280.8419837239583,1.0325039794321433,1.1006452
2001-01-16T12:00:00.000Z,277.6027907986111,0.9916721353083093,-0.042696763
2001-02-15T00:00:00.000Z,277.66568070023146,1.0154404807747597,0.44655713
2001-03-16T12:00:00.000Z,277.821046875,0.9889875272051845,-0.7925161
2001-04-16T00:00:00.000Z,281.08842513020835,0.8150028042886206,-1.2046533
2001-05-16T12:00:00.000Z,285.6026640625,0.8690443158589093,-0.596929
2001-06-16T00:00:00.000Z,289.0346578663793,0.8015485627195922,-0.4829467
2001-07-16T12:00:00.000Z,292.0975718470982,0.8387506793533153,0.28086454
2001-08-16T12:00:00.000Z,292.9598962823276,0.79512646937343,0.47438708
2001-09-16T00:00:00.000Z,288.5263912760417,0.8171831645919252,-1.0297732
2001-10-16T12:00:00.000Z,287.7510560825893,0.818979525590164,1.7384645
2001-11-16T00:00:00.000Z,283.4510988136574,0.9604512993054859,0.92728
2001-12-16T12:00:00.000Z,280.19839453125,0.9525454138912933,0.45667097
2002-01-16T12:00:00.000Z,277.7514181857639,0.9250692180384945,0.057367746
2002-02-15T00:00:00.000Z,279.3296325231481,0.8023701698097978,2.1535
2002-03-16T12:00:00.000Z,279.906568359375,0.818159850458455,1.3202064
2002-04-16T00:00:00.000Z,282.7244225260417,0.8060253436582332,0.43134665
2002-05-16T12:00:00.000Z,286.30110286458336,0.8301285955462545,0.07652904
2002-06-16T00:00:00.000Z,290.0435122575431,0.8549480996618507,0.5742133
2002-07-16T12:00:00.000Z,290.9583761160714,0.8159295876285572,-0.81068385
2002-08-16T12:00:00.000Z,293.93685142780174,0.802292309807501,1.4496903
2002-09-16T00:00:00.000Z,290.86304622395835,0.8328005549507249,1.30688
2002-10-16T12:00:00.000Z,285.7427099609375,0.9661267765607681,-0.29411614
2002-11-16T00:00:00.000Z,281.9725419560185,0.8400356833152768,-0.5292133
2002-12-16T12:00:00.000Z,279.6705078125,1.2079007557023183,-0.054735478
2003-01-16T12:00:00.000Z,277.8378298611111,1.0108684776399894,0.07536774
2003-02-15T00:00:00.000Z,275.6922547743056,0.8370946745626482,-1.4580429
2003-03-16T12:00:00.000Z,279.00191080729167,0.8022728354168804,0.4600903
2003-04-16T00:00:00.000Z,282.4231640625,0.793877074807335,0.13010667
2003-05-16T12:00:00.000Z,286.62601953125,0.8027079182237414,0.45385805
2003-06-16T00:00:00.000Z,291.6001326778017,0.7869625643976863,2.1463466
2003-07-16T12:00:00.000Z,293.1245207868304,0.8383040235322345,1.2490193
2003-08-16T12:00:00.000Z,294.316342268319,0.7918402896235551,1.8019354
2003-09-16T00:00:00.000Z,290.56657291666664,0.7769788859731139,1.0104133
2003-10-16T12:00:00.000Z,285.2659047154018,0.9023439551205998,-0.74921286
2003-11-16T08:34:17.000Z,281.2612991898148,1.0608748213276114,-1.2550714
2003-12-16T12:00:00.000Z,279.53736588541665,1.023313882476827,-0.1867742
2004-01-16T12:00:00.000Z,277.7335481770833,0.9931056501242532,0.042670965
2004-02-15T12:00:00.000Z,277.91469907407406,0.9434222373933472,0.6322207
2004-03-16T12:00:00.000Z,278.4361477864583,0.8083519041352177,-0.09614194
2004-04-16T00:00:00.000Z,283.41488541666666,0.7955339839919887,1.1218133
2004-05-16T12:00:00.000Z,286.52314127604166,0.8725543245510573,0.30014193
2004-06-16T00:00:00.000Z,289.36730670797414,0.8148548779934485,-0.09798667
2004-07-16T12:00:00.000Z,291.4398381696429,0.8213054017693563,-0.4232645
2004-08-16T12:00:00.000Z,293.2350262661638,0.7874866476916496,0.7445032
2004-09-16T00:00:00.000Z,289.331658203125,0.7959615842694904,-0.22450666
2004-10-16T12:00:00.000Z,285.56114467075895,0.804389148394286,-0.44187093
2004-11-16T08:34:17.000Z,282.6989547164352,0.9673541499787874,0.14937142
2004-12-16T12:00:00.000Z,279.53926171875,0.9463574035254888,-0.19735482
2005-01-16T12:00:00.000Z,278.5804155815972,0.8139648379799066,0.7572645
2005-02-15T00:00:00.000Z,276.8552712673611,0.7978386518630122,-0.3326857
2005-03-16T12:00:00.000Z,277.16718880208333,0.9368437013440988,-1.3058709
2005-04-16T00:00:00.000Z,283.066859375,0.7790602537477794,0.77378666
2005-05-16T12:00:00.000Z,285.596630859375,0.8328676852239003,-0.62499356
2005-06-16T00:00:00.000Z,289.3129431573276,0.8381821022402322,-0.1804133
2005-07-16T12:00:00.000Z,291.66985281808036,0.8279806299380335,-0.20860645
2005-08-16T12:00:00.000Z,290.7447817887931,0.788156853494035,-1.6837419
2005-09-16T00:00:00.000Z,290.9971243489583,0.7716522282209988,1.4409599
2005-10-16T12:00:00.000Z,287.0436376953125,0.7976049806366416,1.0958967
2005-11-16T08:34:17.000Z,284.17302879050925,0.8764594374521982,1.5648999
2005-12-16T12:00:00.000Z,280.44548763020833,1.044647605882827,0.6877806
2006-01-16T12:00:00.000Z,276.9758420138889,0.9751712148264056,-0.7971871
2006-02-15T00:00:00.000Z,276.31120515046297,1.040424598529848,-0.9015143
2006-03-16T12:00:00.000Z,276.28405924479165,0.8111578225894047,-2.2198708
2006-04-16T00:00:00.000Z,281.80455794270836,0.8477808963114892,-0.48852
2006-05-16T12:00:00.000Z,285.8827766927083,0.8934157366019054,-0.41985807
2006-06-16T00:00:00.000Z,289.4477936422414,0.8042058706256223,-0.058693323
2006-07-16T12:00:00.000Z,294.4428215680804,0.7836230005073438,2.5517418
2006-08-16T12:00:00.000Z,292.42487877155173,0.780392649341617,-0.046812907
2006-09-16T00:00:00.000Z,291.2281640625,0.8056045836938266,1.6719999
2006-10-16T12:00:00.000Z,288.09557059151786,0.7771936740271561,2.0793161
2006-11-16T08:34:17.000Z,283.89677589699073,0.8700079901644961,1.3249428
2006-12-16T12:00:00.000Z,281.48698307291664,1.031668574225866,1.7716774
2007-01-16T12:00:00.000Z,280.1723882378472,0.824683688420455,2.4428773
